product_name,category,sub-category,sales,quantity,profit,order_id,avg_sales_per_order,profit_margin
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.824,20,25199.928,5,12319.9648,0.40909090909090906
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.384000000002,31,7753.039,10,2745.3384,0.2824074074074074
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.686,38,6983.8836,8,2354.96075,0.37070063694267513
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,11304.44,40,3247.02,8,1413.055,0.28723404255319146
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10822.36,35,3085.0325000000003,10,1082.236,0.28506097560975613
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,9367.289999999999,24,3696.2819999999997,7,1338.1842857142856,0.3945945945945946
Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,8899.822,21,3124.9375,7,1271.403142857143,0.35112359550561795
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,8138.232,49,2016.711,13,626.0178461538461,0.24780701754385964
Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,8070.192,27,2518.0551,6,1345.032,0.31201923076923077
Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,7985.383,28,2318.337,8,998.172875,0.2903225806451613
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,7730.196,45,1932.549,11,702.7450909090909,0.25
"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,6574.544,43,1640.5348,9,730.5048888888889,0.24952830188679245
Hon Pagoda Stacking Chairs,Furniture,Chairs,6483.796,22,1540.704,4,1620.949,0.2376237623762376
Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,5751.774,49,1388.6082,8,718.97175,0.2414225941422594
Hon Olson Stacker Chairs,Furniture,Chairs,5427.99,22,1292.1264,4,1356.9975,0.2380487804878049
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,5119.744000000001,26,2155.8922000000002,7,731.392,0.42109375
Panasonic KX-TG9471B,Technology,Phones,4978.146000000001,27,1168.1004,7,711.1637142857144,0.23464566929133857
Letter Size Cart,Office Supplies,Storage,4600.092,33,1252.8822,8,575.0115,0.27236024844720497
GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,4322.814,23,1592.4978,6,720.469,0.3683937823834197
Canon PC-428 Personal Copier,Technology,Copiers,4119.794,25,1469.9265,6,686.6323333333333,0.3567961165048544
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,3322.878,36,1517.9064,8,415.35975,0.45680473372781066
Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,3234.913,23,1086.3772,8,404.364125,0.3358288770053476
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,3059.7960000000003,25,1147.4235,5,611.9592,0.375
Logitech Wireless Gaming Headset G930,Technology,Accessories,2879.82,21,763.1523,6,479.97,0.26499999999999996
Logitech Wireless Headset h800,Technology,Accessories,2799.72,32,719.928,6,466.61999999999995,0.2571428571428572
Xerox 1915,Office Supplies,Paper,2789.0099999999998,28,1262.394,9,309.89,0.45263157894736844
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,2699.056,29,1260.221,8,337.382,0.46691176470588236
