city,state,region,sales,order_id,profit,avg_sales_per_order,profit_margin
New York City,New York,East,256368.161,450,62036.9837,569.7070244444444,0.24198396344544515
Los Angeles,California,West,175851.34100000001,384,30440.7579,457.9462005208334,0.17310506548824098
Seattle,Washington,West,119540.742,212,29156.0967,563.8714245283019,0.24390091789793306
San Francisco,California,West,112669.092,265,17507.3854,425.1663849056604,0.15538764970254662
Philadelphia,Pennsylvania,East,109077.013,265,-13837.7674,411.6113698113208,-0.12686236099992948
Houston,Texas,Central,64504.7604,188,-10153.548499999999,343.11042765957444,-0.1574077391658678
Chicago,Illinois,Central,48539.541,171,-6654.5688,283.85696491228066,-0.13709583285923532
San Diego,California,West,47521.029,88,6377.196,540.0116931818183,0.1341973466104869
Detroit,Michigan,Central,42446.944,53,13181.790799999999,800.8857358490567,0.3105474636760658
Jacksonville,Florida,South,39133.328,38,-2445.6608,1029.8244210526316,-0.06249559965868479
San Antonio,Texas,Central,21843.528,27,-7299.050200000001,809.0195555555555,-0.3341516168999807
Newark,Delaware,East,20448.05,29,8086.1715,705.1051724137931,0.3954495171911258
Dallas,Texas,Central,20131.9322,80,-2846.5257,251.64915249999999,-0.14139356678342083
Lafayette,Indiana,Central,19630.45,7,8976.097300000001,2804.35,0.45725377156407526
Atlanta,Georgia,South,17197.84,17,6993.6629,1011.6376470588235,0.40665937699152915
Minneapolis,Minnesota,Central,16870.54,13,6824.584599999999,1297.7338461538461,0.4045267430680938
Springfield,Virginia,South,16628.53,25,4568.5789,665.1411999999999,0.27474340185211804
Providence,Rhode Island,East,15980.65,13,5505.6569,1229.2807692307692,0.34452021037942765
Columbus,Ohio,East,15900.793,55,-729.5052,289.10532727272727,-0.04587854203246341
Henderson,Kentucky,South,15661.01,17,4518.8169,921.2358823529412,0.28853930238215797
Jackson,Michigan,Central,15420.036,14,5525.1992,1101.431142857143,0.35831298967136005
Springfield,Missouri,Central,15051.380000000001,14,3905.5890999999997,1075.0985714285714,0.2594837881974941
