product_name,category,sub-category,sales,quantity,profit,order_id,avg_sales_per_order,profit_margin
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.824,20,25199.928,5,12319.9648,0.40909090909090906
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.384000000002,31,7753.039,10,2745.3384,0.2824074074074074
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,6,-1811.0784,1,22638.48,-0.08
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,39,5.684341886080802e-14,8,2733.822,2.599081929109138e-18
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.479,37,2233.5051000000003,11,1802.1344545454544,0.11266968325791857
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,48,760.9799999999996,9,2113.8333333333335,0.03999999999999998
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.686,38,6983.8836,8,2354.96075,0.37070063694267513
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.895,12,4094.9766,3,6124.965,0.22285714285714284
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,27,-1878.1662000000003,6,2994.178,-0.10454545454545457
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.311999999998,11,-262.00480000000005,3,5676.770666666666,-0.015384615384615389
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.901,18,-4589.973,4,4207.47525,-0.2727272727272727
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,22,-1299.1836,6,2776.0333333333333,-0.078
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.916000000001,13,3345.2823,3,5291.972000000001,0.2107142857142857
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.9656,24,-669.5448000000001,5,3122.19312,-0.042889390519187366
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,11,3717.9714000000004,2,7149.945,0.26
Samsung Galaxy Mega 6.3,Technology,Phones,13943.668,39,1822.7566,6,2323.9446666666668,0.13072289156626507
Apple iPhone 5,Technology,Phones,12996.600000000002,24,1611.5784,6,2166.1000000000004,0.12399999999999999
Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.2915,46,-327.2331,12,1082.9409583333334,-0.025180897250361794
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,12975.382,32,951.8620000000001,9,1441.709111111111,0.07335907335907337
Canon PC1060 Personal Laser Copier,Technology,Copiers,11619.833999999999,19,4570.9347,4,2904.9584999999997,0.39337349397590365
SAFCO Arco Folding Chair,Furniture,Chairs,11572.78,53,1179.374,13,890.2138461538462,0.10190930787589499
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,11304.44,40,3247.02,8,1413.055,0.28723404255319146
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,9,-8879.9704,3,3699.9876666666664,-0.8
DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,11046.609,27,90.17640000000002,6,1841.1015,0.00816326530612245
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,10925.003999999999,43,1575.1098,11,993.1821818181817,0.1441747572815534
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10822.36,35,3085.0325000000003,10,1082.236,0.28506097560975613
